"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
29,"STN_049","2022-09-02 15:13:32.162563",39.246905,-93.281475,19.97,7.45,7.07,2.19,429,2.635,0.1,15.27
54,"STN_049","2020-05-08 05:26:43.367257",39.246315,-93.28208,11.86,7.32,7.24,5.23,427.9,0.639,0.044,6.4
71,"STN_049","2020-05-22 14:25:53.82518",39.247385,-93.282128,26.75,7.16,7.21,5.1,350.1,2.187,0.14,17.77
108,"STN_049","2020-01-04 17:27:14.383021",39.244944,-93.279885,12.43,7.56,9.76,3.21,404.3,2.815,0.093,17.78
241,"STN_049","2021-11-07 19:58:41.388692",39.245446,-93.282183,24.34,8.2,8.66,5.13,418.2,2.45,0.077,14.42
281,"STN_049","2022-07-06 14:11:47.765899",39.247064,-93.282624,22.72,7.41,5.36,10.04,430.4,1.812,0.189,3.43
300,"STN_049","2020-03-15 00:54:31.112935",39.246344,-93.281237,20.54,7.44,10.53,3.24,417.3,1.202,0.156,9.31
388,"STN_049","2022-08-29 07:46:27.434877",39.244353,-93.282858,14.66,7.7,9.75,5.44,392.8,0.611,0.074,8.93
391,"STN_049","2020-10-27 19:21:54.054275",39.245656,-93.282967,9.31,7.22,6.83,0.95,388.1,2.135,0.076,2.29
397,"STN_049","2020-09-21 22:04:07.986511",39.244855,-93.282553,5.95,7.78,8.51,6.85,361.1,4.131,0.128,14.84
409,"STN_049","2022-01-23 02:32:39.454483",39.246896,-93.283096,13.4,7.7,8.15,0.89,440.7,2.279,0.116,6.7
518,"STN_049","2020-06-30 03:21:57.123152",39.246133,-93.282693,13.49,7.55,7.24,9.28,445,3.325,0.121,10.33
580,"STN_049","2021-04-08 11:40:23.377112",39.24601,-93.283055,17.81,7.54,9.36,3.53,398.8,2.602,0.051,9.79
587,"STN_049","2022-08-18 10:24:53.445698",39.246355,-93.283064,19.01,7.79,6.81,1.42,439.5,1.858,0.124,12.96
605,"STN_049","2020-01-09 11:22:41.996428",39.244662,-93.282667,10.07,7.63,6.29,8.31,438,2.214,0.069,15.09
646,"STN_049","2020-01-28 21:49:22.196144",39.246495,-93.283446,7.25,7.75,7.07,4.52,368,2.589,0.143,5.98
658,"STN_049","2020-09-22 21:38:56.217081",39.244504,-93.281272,14.55,7.42,8.4,5.38,431.6,1.677,0.065,11.77
664,"STN_049","2021-02-09 22:45:02.739823",39.246693,-93.281611,18.39,8,9.14,6.03,365.4,1.384,0.09,11.99
727,"STN_049","2020-03-04 04:36:30.042423",39.244888,-93.283064,7.68,7.49,9.4,1.35,422.3,3.213,0.099,0.44
766,"STN_049","2021-05-19 17:27:45.665772",39.246249,-93.281293,17,7.41,4.47,2.31,372.4,2.293,0.036,6.36
813,"STN_049","2022-03-28 08:01:44.811998",39.244491,-93.281182,16.77,7.16,6.81,3.72,506.4,1.651,0.008,1.63
818,"STN_049","2021-12-24 23:55:37.424096",39.245,-93.281741,20.58,8.04,8.69,6.76,318.2,1.423,0.131,4.04
1004,"STN_049","2021-09-02 00:05:38.341053",39.246193,-93.282852,12.55,7.01,8.04,3.82,476.3,1.077,0.096,8.84
1005,"STN_049","2021-02-11 14:45:41.642012",39.246283,-93.283599,22.01,7.05,8.95,3.24,414.2,2.632,0.085,0.76
1036,"STN_049","2021-09-01 02:43:30.856079",39.247329,-93.283756,21.69,7.52,9.99,4.06,444.2,2.811,0.099,11.74
1046,"STN_049","2022-06-14 02:32:33.047014",39.245245,-93.283268,16.42,7.34,9.35,1.53,363.3,3.018,0.094,8.76
1110,"STN_049","2021-07-02 13:55:38.188056",39.244742,-93.281428,11.59,7.87,8.06,3.86,389.2,1.825,0.077,18.8
1153,"STN_049","2020-01-03 11:34:24.950793",39.24548,-93.282461,8.42,7.54,9.63,3.36,441.1,1.195,0.127,9.97
1210,"STN_049","2020-12-13 20:59:15.224423",39.245987,-93.283458,16.94,7.09,8.26,7.22,356.8,2.027,0.17,0
1225,"STN_049","2020-04-12 11:31:02.621272",39.246664,-93.282592,10.09,7.29,10.45,5.16,360.6,0.344,0.161,13.47
1252,"STN_049","2021-05-12 06:26:50.953423",39.245493,-93.282704,22.62,7.44,6.69,10.95,365.8,3.193,0.061,4.76
1281,"STN_049","2021-02-02 07:00:14.382689",39.247087,-93.280751,9.81,7.62,7.54,4.57,468,4.366,0.116,16.23
1308,"STN_049","2022-03-09 02:17:20.586504",39.244573,-93.281353,13.65,7.4,8.69,5.7,375.8,3.788,0.114,8.36
1319,"STN_049","2022-08-19 05:36:31.227517",39.245816,-93.280327,10.62,7.41,9.09,0.67,412.6,3.518,0.061,6.23
1359,"STN_049","2020-04-29 06:34:37.579196",39.245058,-93.281911,16.56,7.82,8.21,3.75,432.1,1.862,0.167,11.13
1500,"STN_049","2022-12-01 20:45:58.750811",39.245857,-93.282741,22.42,8.34,8.83,3.17,374.4,2.448,0.055,11.58
1550,"STN_049","2021-09-27 00:04:14.920967",39.244688,-93.283903,8.25,7.66,8.09,6.58,421,1.56,0.067,0.16
1634,"STN_049","2020-04-02 16:45:36.09454",39.245099,-93.28205,10.24,7.61,6.78,3.33,385.1,2.168,0.111,10.04
1659,"STN_049","2021-08-15 12:30:34.278826",39.245639,-93.281344,15.05,7.34,8.58,3.87,396.7,1.239,0.106,13.4
1671,"STN_049","2022-04-11 09:17:12.199954",39.245594,-93.282789,16.86,7.67,8.68,5.18,492.3,0.074,0.073,5.84
1773,"STN_049","2022-02-01 05:24:37.905274",39.247746,-93.281025,22.27,7.53,8.11,8.07,464.8,3.236,0.022,13.75
1814,"STN_049","2021-12-04 13:17:39.886795",39.246534,-93.283059,11.31,8.02,6.16,4.2,390,2.583,0.046,4.5
1856,"STN_049","2022-05-24 20:30:00.800586",39.24553,-93.283986,18.06,7.58,7.55,7.23,364.8,2.875,0.122,13.42
1872,"STN_049","2022-10-06 12:48:22.958967",39.2467,-93.282314,10.81,7.39,8.34,7.69,319.9,1.547,0.154,8.42
1987,"STN_049","2022-02-20 03:31:43.839643",39.248684,-93.282023,18.42,7.44,6.35,9.53,413.1,0.624,0.079,9.79
2141,"STN_049","2020-06-13 20:37:19.556303",39.246332,-93.283712,10.37,7.85,7.2,7.17,383.4,3.284,0.112,6.97
2143,"STN_049","2021-04-17 01:48:16.732877",39.245101,-93.283538,11.58,7.39,5.67,2.22,346.6,1.663,0.222,2.29
2167,"STN_049","2022-06-02 00:48:01.992254",39.245611,-93.282132,13.52,7.17,5.98,2.22,479.9,1.67,0.105,6.99
2195,"STN_049","2021-06-04 16:21:13.794526",39.247282,-93.281429,23.05,6.85,8.76,4.98,367.5,0.443,0.125,15.58
2220,"STN_049","2021-09-15 19:41:50.778462",39.243983,-93.282857,11.78,8.31,8.16,3.98,375.1,3.545,0.07,6.9
2413,"STN_049","2022-02-02 01:04:28.863787",39.243438,-93.282292,16.73,7.4,8.93,1.92,389.6,1.945,0.2,9.95
2445,"STN_049","2021-08-28 06:54:45.632269",39.24563,-93.282719,13.4,7.52,6.94,7.48,310.6,0.401,0.102,9.19
2601,"STN_049","2020-02-21 08:24:54.26978",39.245434,-93.2839,8.18,7.57,8.72,5.16,415.2,0.832,0.152,5.15
2777,"STN_049","2021-01-13 07:45:40.088584",39.24484,-93.282503,21.86,8.18,12.49,3.62,411.6,1.685,0.077,7.25
2794,"STN_049","2020-08-10 04:37:47.988409",39.246573,-93.283096,12.19,7.46,9.66,3.86,371.6,1.58,0.109,17.06
2869,"STN_049","2022-11-15 20:05:31.855425",39.243988,-93.283194,16.99,7.68,8.9,3.68,424.1,3.707,0.159,7.77
2913,"STN_049","2021-01-10 19:59:21.508289",39.245863,-93.283005,13.26,7.72,8.21,9.96,412.8,1.737,0.033,3.2
