"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
12,"STN_038","2021-02-21 16:32:03.344372",40.347012,-118.379442,16.53,7.52,6.04,3.3,394.8,1.719,0.122,8.87
86,"STN_038","2021-10-27 08:56:05.619034",40.347794,-118.378263,9.64,7.88,7.69,8.22,333.9,1.196,0.045,10.85
91,"STN_038","2020-04-06 04:13:23.830509",40.347593,-118.378945,15.73,7.23,6.43,4.81,390.5,3.72,0.12,3.4
92,"STN_038","2021-11-08 21:13:45.698579",40.346131,-118.379288,12.2,7.49,7.66,6.6,259,2.673,0.098,3.08
100,"STN_038","2022-11-22 06:58:40.849742",40.347725,-118.379337,15.18,7.68,7.51,1.26,358.2,0.182,0.211,5.31
137,"STN_038","2020-04-27 07:18:09.751851",40.349123,-118.37937,16.09,7.21,9.33,3.75,533.8,1.773,0.05,11.01
205,"STN_038","2021-12-10 12:51:03.975897",40.3483,-118.38147,11.5,8.11,8.97,5.19,388.1,1.311,0.119,11.85
216,"STN_038","2022-09-19 17:22:15.019246",40.347341,-118.379917,17.08,7.43,6.19,7.47,405.1,2.908,0.061,9.17
220,"STN_038","2021-09-11 06:42:00.306628",40.348026,-118.378976,10.22,6.74,8.32,3.25,377.2,2.719,0.078,14.86
305,"STN_038","2021-09-26 12:18:40.459282",40.348869,-118.380024,10.64,7.52,8.7,4.62,422.4,1.902,0.137,4.54
348,"STN_038","2021-03-21 21:34:34.456883",40.346571,-118.380401,21.11,7.61,9.94,2.14,486.3,2.198,0.149,2.97
396,"STN_038","2022-04-27 18:58:11.889851",40.349359,-118.380227,24.6,7.56,7.33,11.06,375.3,1.391,0.053,7.13
456,"STN_038","2021-11-22 06:29:52.458191",40.348902,-118.379804,15.77,7.33,3.72,4.41,410.5,2.291,0.11,10.6
510,"STN_038","2020-06-25 01:44:47.37153",40.347719,-118.379796,23.69,7.62,6.24,2.81,365.4,0.434,0.141,3.21
669,"STN_038","2022-02-06 20:40:47.624516",40.34854,-118.37893,18.49,7.91,7.63,10.04,320.3,0.978,0.119,16.15
671,"STN_038","2021-02-26 01:38:34.919597",40.347946,-118.379636,25.04,7.7,9.24,2.22,377.3,2.904,0.204,1.64
937,"STN_038","2022-01-01 01:18:00.472279",40.346697,-118.378691,19.71,7.79,7.8,2.3,449.6,1.645,0.079,10.7
1054,"STN_038","2021-03-06 21:18:08.531332",40.345397,-118.379803,19.15,7.56,8.34,5.73,378.8,2.994,0.145,14.08
1084,"STN_038","2022-08-10 15:18:11.581848",40.345717,-118.37874,18.83,7.57,8.71,7.91,396.5,1.974,0.123,11.23
1157,"STN_038","2022-02-26 03:26:54.916829",40.351095,-118.378536,13.29,7.52,9.88,5.67,347.5,1.455,0.13,9.52
1196,"STN_038","2020-10-26 22:48:40.056407",40.347368,-118.380059,7.89,7.5,7.69,7.25,397.7,1.722,0.107,14.9
1235,"STN_038","2022-02-22 05:33:06.065041",40.347844,-118.37919,13.45,8.09,9.82,3.91,451,0.991,0.079,12.83
1255,"STN_038","2021-08-29 00:51:52.331519",40.346271,-118.37918,12.97,7.62,10.56,3.8,373.8,1.841,0.194,8.82
1274,"STN_038","2020-09-18 22:34:45.41535",40.346912,-118.380581,19.47,6.94,4.79,9.08,331.3,2.382,0.102,10.33
1278,"STN_038","2022-01-13 17:44:08.661366",40.347342,-118.382004,16.84,7.05,9.48,10.9,424,3.75,0.085,10.87
1367,"STN_038","2020-12-14 05:53:07.732632",40.346835,-118.38059,23.04,7.61,6.81,8.37,368.6,3.551,0.094,17.47
1387,"STN_038","2020-05-16 00:18:29.785451",40.34756,-118.379102,16.67,7.41,9.59,6.12,450.9,2.818,0.045,15.47
1395,"STN_038","2021-01-26 07:14:05.418153",40.345426,-118.378509,12.48,7.45,7.14,5.86,433,2.544,0.028,6.89
1399,"STN_038","2021-01-03 14:27:58.366428",40.348879,-118.376626,19.78,7.41,7.43,1.25,502.2,2.047,0.009,12.65
1437,"STN_038","2022-10-08 13:37:50.718328",40.346392,-118.379644,9.9,7.35,8.25,4.66,354.4,0.937,0.123,6.27
1445,"STN_038","2022-02-17 04:34:33.907667",40.347349,-118.380142,16.63,7.5,8.58,1.49,393.8,2.131,0.137,18.92
1466,"STN_038","2020-11-19 04:25:58.438023",40.345867,-118.380648,6.51,7.52,9.52,4.6,394.1,3.345,0.032,2.36
1468,"STN_038","2020-02-27 16:40:49.397946",40.349927,-118.380756,18.68,7.32,8.79,3.64,338.7,2.465,0.048,5.98
1474,"STN_038","2020-02-17 06:09:50.944773",40.34904,-118.379764,12.8,7.2,7.42,6.5,507.4,3.252,0.005,9.34
1518,"STN_038","2021-07-16 03:10:41.83641",40.347518,-118.378908,25.94,7.59,5.79,3.9,443.7,1.766,0.134,6.54
1560,"STN_038","2021-02-15 19:52:50.776431",40.348857,-118.379161,9.11,6.81,8.37,5.18,402.1,2.764,0.133,12.61
1569,"STN_038","2022-09-21 05:10:14.190144",40.347386,-118.378648,13.4,7.72,6.41,5.58,478.6,1.052,0.004,3.89
1600,"STN_038","2022-10-15 19:39:40.017755",40.34747,-118.380519,16.51,7.28,7.06,8.69,422.2,2.788,0.022,3.97
1720,"STN_038","2020-01-24 16:47:11.932765",40.347542,-118.379938,11.12,7.79,6.3,11.21,416.9,2.832,0.111,8.49
1768,"STN_038","2020-10-27 10:15:59.039424",40.346719,-118.379624,14.65,6.86,7.9,2.63,329.4,1.266,0.095,1.62
1777,"STN_038","2021-04-30 14:02:26.634302",40.346783,-118.379433,19.05,7.31,8.07,0.2,341,0.983,0.05,14.03
1840,"STN_038","2022-01-23 04:26:40.931556",40.347294,-118.379016,21.69,7.42,7.63,7.63,350.2,1.431,0.072,10.48
1900,"STN_038","2021-01-06 04:03:03.164191",40.348341,-118.37983,6.17,6.83,5.29,5.86,411.5,1.866,0.095,14.55
1995,"STN_038","2022-06-27 01:10:39.246006",40.348667,-118.381709,19.07,7.91,7.82,1.81,454.8,4.035,0.14,10.52
2030,"STN_038","2020-07-21 21:29:02.427664",40.348201,-118.381233,7.87,7.56,9.62,2.01,425.1,2.247,0.095,12.53
2086,"STN_038","2020-07-24 21:54:09.940248",40.347718,-118.379947,6.53,7.84,11.67,1.81,398.1,2.533,0.1,7.92
2118,"STN_038","2022-06-15 09:02:11.499247",40.347844,-118.37955,16.99,7.33,9.62,11.92,380.2,0.63,0.151,6.01
2127,"STN_038","2022-03-09 07:06:56.342588",40.34629,-118.380571,12.47,7.41,5.81,7.48,442.2,3.329,0.139,14.54
2205,"STN_038","2022-02-17 05:33:52.098687",40.347154,-118.379726,16.44,7.59,7.88,4.31,383.1,2.541,0.05,12.63
2214,"STN_038","2020-12-05 00:42:38.186607",40.348922,-118.377593,19.81,7.9,6.83,4.97,368.8,2.345,0.131,15.85
2216,"STN_038","2021-05-04 18:53:34.812858",40.34702,-118.378723,21.16,7.71,9.19,5.35,382,4.774,0.085,9.26
2260,"STN_038","2021-08-19 20:37:56.363949",40.345476,-118.378976,12.84,7.2,7.93,3.42,410.2,2.473,0.093,16.2
2399,"STN_038","2021-01-18 22:21:57.583928",40.346819,-118.379966,7.43,7.58,7.56,9.97,363.5,2.388,0.06,7.82
2437,"STN_038","2020-07-02 00:28:39.06032",40.348856,-118.379705,14.69,7.71,9.9,2.7,383.6,4.788,0.061,0.59
2449,"STN_038","2020-06-13 21:42:50.05852",40.346871,-118.379769,17.56,7.53,8.61,0.5,426.8,1.783,0.104,11.49
2452,"STN_038","2021-05-28 20:07:04.162931",40.347362,-118.378228,15.78,7.33,7.48,5.34,441.6,1.455,0.167,12.31
2623,"STN_038","2021-08-19 10:56:13.037273",40.346466,-118.381408,10.16,7.78,8.69,5.6,386.2,0.767,0.258,13.59
2680,"STN_038","2021-10-09 00:56:16.573679",40.347538,-118.379054,16.55,7.36,7.76,5.21,432.2,1.85,0.04,5
2704,"STN_038","2022-03-04 00:58:56.998055",40.347356,-118.380617,17.94,7.24,8.26,6.01,401.2,2.823,0.078,9.19
2750,"STN_038","2020-03-12 12:10:46.594481",40.346672,-118.380745,20.33,7.6,8.27,4.76,362.1,3.642,0.049,5.53
2758,"STN_038","2020-10-28 22:11:36.341211",40.349339,-118.37951,24.71,7.47,9.13,5.61,379.9,2.655,0.059,15.87
2852,"STN_038","2021-04-12 21:22:39.607572",40.349611,-118.378673,9.03,7.41,8.06,6.52,357.3,2.353,0.103,6.51
