"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
117,"STN_039","2021-01-07 07:50:49.519133",41.000493,-94.204237,13.91,7.32,8.11,2.35,430.8,1.951,0.086,9.85
167,"STN_039","2021-09-15 05:33:46.926517",40.997417,-94.204096,5.27,7.71,7.9,4.63,389.9,1.867,0.13,7.32
218,"STN_039","2021-03-28 11:43:20.131052",40.999294,-94.204982,14.42,7.09,7.82,7.92,403.6,2.648,0.182,5.44
253,"STN_039","2022-01-24 03:43:10.269173",40.998031,-94.206903,11.19,7.57,7.69,4.88,364.7,3.194,0.105,8.41
288,"STN_039","2021-05-07 20:49:06.610142",40.998567,-94.204358,14.73,7.37,4.45,4.89,313.7,1.891,0.062,1.39
295,"STN_039","2020-05-14 11:31:34.473202",41.001039,-94.203687,13.68,7.75,8.65,5.22,511.3,1.151,0.104,0.2
323,"STN_039","2021-12-17 16:53:44.358458",40.997414,-94.205722,18.86,7.21,9.47,4.85,500,0.695,0.088,17.36
328,"STN_039","2020-12-14 07:10:54.244436",40.997634,-94.203521,12.4,7.81,5.88,4.36,439.2,1.684,0.108,15.22
357,"STN_039","2022-11-16 02:58:34.361921",40.998705,-94.206024,14.01,7.36,4.22,0.22,428.3,3.871,0.106,7.5
364,"STN_039","2022-11-19 11:38:42.844968",40.99799,-94.203367,16,7.6,9.42,0.34,408.7,2.13,0.036,7.82
425,"STN_039","2020-07-08 11:17:40.552056",40.999365,-94.202619,19.2,7.12,10.3,5.92,406,0.042,0.059,13.22
435,"STN_039","2022-11-21 15:10:15.279402",40.99872,-94.202583,11.52,7.55,8.11,6.49,378.8,2.757,0.164,9.57
497,"STN_039","2021-03-01 11:39:40.365437",41.000456,-94.205893,17.24,8.09,7.01,3.91,398.4,0.981,0.127,11.99
537,"STN_039","2021-01-12 07:28:18.898416",40.998542,-94.203769,21.06,7.05,10.43,4.65,408.7,2.534,0.04,13.13
541,"STN_039","2021-06-26 09:17:47.126519",40.997584,-94.202367,9.26,7.77,7.8,3.46,421.1,2.981,0.1,3.37
549,"STN_039","2021-08-24 02:39:55.194465",40.99903,-94.203407,19.76,7.22,7.86,4.43,356.8,2.467,0.082,8.07
627,"STN_039","2020-12-14 05:14:07.626134",40.999103,-94.204649,17.76,7.88,10.19,7.9,392.3,2.097,0.142,11.04
655,"STN_039","2021-06-23 20:30:26.913399",40.998176,-94.205419,14.06,7.09,10.95,2.56,336,0.855,0.05,12.88
716,"STN_039","2021-11-21 17:36:16.538862",40.998587,-94.204003,16.08,7.51,9.72,1.17,337.8,1.209,0.116,6.29
718,"STN_039","2021-07-29 01:56:42.907299",40.999099,-94.20358,7.69,7.7,8.76,3.77,404.9,0.789,0.087,14.91
757,"STN_039","2021-12-24 03:54:55.603931",40.996998,-94.203403,12.76,7.87,6.61,5.37,404.4,1.823,0.009,7.62
