"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
63,"STN_023","2022-05-22 05:39:21.568757",35.065726,-93.622633,11.76,7.57,6.52,5.57,414.4,1.963,0.048,13.56
93,"STN_023","2020-11-02 22:23:11.824061",35.067508,-93.622294,11.06,7.5,10.99,9.77,321.4,2.627,0.083,3.58
147,"STN_023","2021-12-05 14:33:57.262369",35.067264,-93.623827,21.43,7.56,6.34,7.45,396.8,3.169,0.137,8.9
168,"STN_023","2020-02-27 02:11:49.243521",35.067444,-93.623749,12.53,7.21,5.22,2.54,349.1,1.087,0.11,9.22
248,"STN_023","2022-07-27 03:16:41.448199",35.06584,-93.623025,22.15,8.12,7.37,5.52,355.1,1.547,0.191,8.22
386,"STN_023","2020-09-29 05:26:57.332601",35.067259,-93.62261,9.68,7.66,9.57,0.24,296.5,2.404,0.216,5.19
578,"STN_023","2021-06-20 11:36:49.112775",35.067586,-93.623587,25.44,7.65,7.1,7.61,394.6,3.401,0.092,8
639,"STN_023","2020-04-26 08:45:41.418316",35.066733,-93.623409,25.15,7.26,7.39,3.9,391.8,0.344,0.148,12.24
652,"STN_023","2021-09-07 10:33:24.070267",35.065502,-93.623853,25.42,7.4,10.53,8.83,329.2,3.981,0.01,3.74
687,"STN_023","2020-06-25 06:22:11.193142",35.067611,-93.622512,14.29,7.57,7.75,9.35,435.9,2.201,0.103,8.15
784,"STN_023","2020-05-13 14:26:44.269867",35.066407,-93.623379,16.19,7.63,6.12,8.61,405.8,2.573,0.033,17.79
910,"STN_023","2021-05-23 16:02:38.793875",35.067485,-93.622876,13.27,7.97,8.75,5.61,361.5,1.401,0.098,14.19
1111,"STN_023","2021-04-15 09:02:21.954651",35.066106,-93.623569,18.2,7.23,8.92,4.09,381.1,3.441,0.078,9.64
1227,"STN_023","2021-09-02 03:06:57.132378",35.064948,-93.621372,20.23,7.54,10.05,1.56,477.3,1.935,0.016,9.98
1242,"STN_023","2021-12-08 20:54:31.298685",35.066934,-93.624044,23,7.55,8.12,10.73,343.6,1.659,0.035,17.46
1254,"STN_023","2022-11-04 11:11:49.15366",35.065973,-93.624678,24.11,7.54,8.68,0.94,399.7,2.74,0.053,1.39
1346,"STN_023","2021-06-24 02:47:48.068806",35.06633,-93.623661,16.99,7.48,7.53,6.32,272.1,1.239,0.056,7.9
1347,"STN_023","2020-06-30 14:38:15.827613",35.067921,-93.622133,21.29,7.06,7.61,4.77,387.1,3.732,0.231,9.56
1461,"STN_023","2022-12-04 17:42:45.136271",35.066557,-93.622885,12.55,6.94,9.06,5.96,351.5,2.5,0.115,10.98
1488,"STN_023","2022-01-25 02:50:29.95105",35.066088,-93.624855,12.21,7.44,8.23,9.49,511.9,0.552,0.152,13.45
1517,"STN_023","2020-04-10 15:03:35.328846",35.06744,-93.625552,9.98,7.07,9.06,8.98,446.4,0.266,0.089,15.2
1541,"STN_023","2022-06-13 02:38:09.597713",35.06675,-93.622685,11.66,7.51,8.52,5.26,549.7,3.539,0.018,11.1
