"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
19,"STN_018","2021-07-09 18:27:00.933936",37.531209,-108.799138,11.2,6.78,8.71,8.94,347.5,1.516,0.034,10.43
154,"STN_018","2020-01-17 12:20:35.568253",37.532848,-108.796899,16.04,6.83,8.42,5.82,328.6,2.457,0.14,11.93
337,"STN_018","2021-06-01 10:50:30.957737",37.53292,-108.794941,16.86,7.84,9.89,3.09,392.6,2.427,0.095,11.03
407,"STN_018","2022-07-28 12:30:18.898965",37.531935,-108.795243,17.54,7.6,7.96,5.73,461.6,2.249,0.162,15.76
519,"STN_018","2021-10-29 05:50:31.656754",37.532571,-108.797722,11.17,7.21,9.54,6.4,397.2,1.169,0.154,10.66
560,"STN_018","2021-08-21 00:05:05.866818",37.529778,-108.79777,11.62,7.3,7.44,9.21,392.7,1.391,0.081,9.76
670,"STN_018","2021-04-06 17:50:40.260871",37.531521,-108.796892,17.65,7.62,7.78,3.13,467,2.47,0.12,11.7
894,"STN_018","2022-10-14 20:43:43.214793",37.533133,-108.796385,16.67,7.93,9.82,2.37,437.3,2.09,0.152,8.06
946,"STN_018","2020-09-23 17:54:53.506028",37.53198,-108.796129,25.59,7.58,8.24,6.68,343.7,2.863,0.194,15.77
975,"STN_018","2020-01-25 23:38:06.622493",37.532339,-108.796282,16.57,7.54,9.53,12.79,373.6,1.391,0.134,6.44
1025,"STN_018","2021-09-17 00:07:51.488491",37.532375,-108.796144,21.45,7.66,4.57,2.14,371.2,4.041,0.1,11.77
1029,"STN_018","2020-10-18 19:21:01.563794",37.533704,-108.797702,25.17,7.43,7.24,4.69,520.3,3.068,0.144,6.9
1032,"STN_018","2021-06-30 18:32:06.216408",37.530788,-108.797321,13.34,7.9,9.09,2.16,426.3,2.215,0.107,17.61
1079,"STN_018","2021-06-18 02:05:00.028541",37.532532,-108.797917,28.26,7.87,4.74,1.75,394.7,1.608,0.068,12.94
1087,"STN_018","2022-08-03 19:12:33.013565",37.53374,-108.797166,16.08,7.17,8.39,2.39,279.7,1.835,0.111,6.12
1100,"STN_018","2021-02-10 13:31:09.492482",37.531978,-108.797197,14.24,7.36,5.62,5.21,479.8,0.845,0.01,5.5
1138,"STN_018","2020-07-20 20:10:59.473604",37.532428,-108.795899,12.07,7.43,7.14,2.66,445.8,0.92,0.077,2.21
1230,"STN_018","2020-04-10 09:38:09.212367",37.53258,-108.798353,12.67,7.48,9.03,6.97,413.8,2.614,0.145,25.99
1241,"STN_018","2021-12-27 23:30:58.583234",37.533791,-108.797136,7.04,7.43,9.63,4.68,459.3,4.039,0.119,13.45
1245,"STN_018","2020-12-20 11:13:56.57892",37.533858,-108.79603,10.63,7.34,7.77,0.21,422.9,1.426,0.122,11.58
1337,"STN_018","2022-12-16 16:09:46.751682",37.532838,-108.797247,9.9,7.73,6.93,5.61,511,1.793,0.13,14.08
1342,"STN_018","2022-04-02 08:07:33.778019",37.532862,-108.797001,9.19,7.83,8.08,2.85,402.1,0.213,0.09,14.65
1371,"STN_018","2020-10-25 04:41:37.081292",37.532554,-108.796439,13.05,7.66,7.54,6.98,372.8,2.122,0.114,5.58
