"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
13,"STN_044","2020-02-07 21:55:22.510524",43.708292,-90.84529,16.52,7.75,11.18,2.66,399.3,1.584,0.153,13.85
25,"STN_044","2021-09-17 13:57:23.605368",43.705603,-90.842035,7.94,7.64,9.67,4.61,401.4,1.498,0.117,13.68
72,"STN_044","2020-10-27 09:52:01.097012",43.705005,-90.84517,22.69,7.71,7.08,6.35,333.7,2.097,0.08,9.59
95,"STN_044","2022-07-29 06:26:33.238512",43.707001,-90.844567,12.35,6.87,8.34,9.28,320.4,1.31,0.087,8.34
110,"STN_044","2021-08-14 20:26:20.30838",43.705726,-90.843635,17.67,8.01,8.11,1.29,429.6,2.629,0.075,2.01
192,"STN_044","2020-02-06 05:34:04.949996",43.707574,-90.843425,19.74,7.92,9.99,2.93,359.9,2.173,0.097,14.36
213,"STN_044","2020-04-25 14:16:35.913239",43.707707,-90.843801,15.49,7.71,6.61,7.89,402,2.926,0.056,11.2
244,"STN_044","2020-11-06 10:03:02.26492",43.704792,-90.843994,5.03,7.71,7.96,9.85,529.9,2.222,0.001,3.58
272,"STN_044","2022-05-27 14:33:50.294533",43.706256,-90.842126,24.22,7.21,8.29,7.26,454.1,1.727,0.095,4.33
293,"STN_044","2022-04-19 11:02:59.784252",43.706012,-90.842649,19.28,7.4,5.28,3.49,404.5,2.575,0.176,12.79
358,"STN_044","2020-04-06 02:38:29.486923",43.705648,-90.844,11.99,7.52,8.99,5.2,477.4,1.852,0.163,0.79
413,"STN_044","2022-12-27 13:57:02.345354",43.706726,-90.844584,10.96,6.78,8.91,3.01,419.2,1.005,0.001,14.82
432,"STN_044","2020-05-20 09:22:20.889307",43.7063,-90.844266,19.5,8.16,8.39,7.36,422,2.989,0.194,8.92
467,"STN_044","2021-03-06 05:27:31.984636",43.706204,-90.844733,15.03,7.33,7.24,9.44,429.6,2.124,0.118,7.66
520,"STN_044","2022-08-30 23:08:35.681525",43.706387,-90.84501,18.21,7.11,7.02,6.15,381.8,3.547,0.136,9.91
575,"STN_044","2022-10-02 00:53:24.661254",43.705721,-90.843934,16.69,7.63,6.03,6.11,333.3,1.609,0.087,5.28
591,"STN_044","2020-01-07 00:55:56.519694",43.705763,-90.842935,13.86,7.27,6.4,9.06,413.9,1.088,0.096,24.31
619,"STN_044","2020-04-24 20:51:12.115859",43.706461,-90.843263,24.7,8.07,6.39,3.21,392.2,2.964,0.188,10.16
676,"STN_044","2020-04-28 22:02:23.622483",43.706106,-90.840782,9.53,8.38,8.82,5.91,358.7,0.958,0.124,19.59
688,"STN_044","2020-12-14 15:42:55.292952",43.704156,-90.844442,17.02,7.95,8.34,10.92,329.7,2.581,0.052,11.12
754,"STN_044","2022-11-16 17:48:38.90297",43.707536,-90.844071,15.23,7.53,9.27,0.17,330.3,2.845,0.159,5.33
768,"STN_044","2022-08-26 19:10:53.692277",43.705855,-90.84561,3.59,8,7.75,7.97,489.7,0.839,0.038,8.79
785,"STN_044","2020-05-02 18:23:40.825747",43.705669,-90.842852,16.17,7.4,7.03,3.2,397.5,1.827,0.151,18.21
880,"STN_044","2021-07-04 21:19:26.365852",43.706471,-90.843854,13.22,7.34,8.18,3.87,499.4,1.212,0.089,4.86
914,"STN_044","2021-03-18 13:13:30.111565",43.706316,-90.843395,21.95,7.64,5.92,7.51,428.6,2.663,0.077,11.62
1010,"STN_044","2022-07-18 18:58:56.272692",43.707518,-90.844304,13.1,7.34,7.62,4.18,497.3,2.254,0.118,1.12
1045,"STN_044","2020-04-20 00:45:10.834321",43.706356,-90.844023,14.79,7.78,6.76,5.09,447.3,2.652,0.121,3.43
1093,"STN_044","2022-04-14 21:41:40.232808",43.706084,-90.844563,8.48,7.79,7.81,6.15,398.1,2.789,0.166,9.45
1139,"STN_044","2022-12-13 07:23:41.046372",43.705318,-90.844778,21.58,7.28,8.96,3.79,354,3.714,0.082,13.82
1203,"STN_044","2022-07-20 01:52:10.089004",43.705772,-90.845624,16.94,7.74,8.03,2.79,412.9,1.878,0.117,13.07
1212,"STN_044","2022-04-02 11:33:41.792105",43.706213,-90.843432,11.57,7.6,6.58,4.3,426.6,3.024,0.062,8.57
1246,"STN_044","2020-10-12 18:08:00.780796",43.70481,-90.844695,19.62,7.62,7.65,9.46,451.7,0.567,0.064,5.15
1321,"STN_044","2022-09-09 07:00:21.816283",43.705769,-90.842366,13.38,7.17,9.84,4.54,340.2,0.727,0.076,16.38
