"record_id","station_id","sample_datetime","latitude","longitude","water_temp_c","ph","dissolved_oxygen_mg_l","turbidity_ntu","conductivity_us_cm","nitrate_mg_l","phosphate_mg_l","chlorophyll_ug_l"
22,"STN_045","2022-10-23 11:19:45.18753",37.32569,-84.155266,18.99,7.29,8.53,3.27,428.7,2.916,0.127,5.01
152,"STN_045","2021-10-21 23:06:13.781229",37.32625,-84.155789,25.3,7.02,8.13,8.16,409.1,2.719,0.109,14.19
173,"STN_045","2021-04-08 20:30:46.820976",37.323381,-84.153964,12.81,7.5,8.86,9.05,412.9,2.077,0.179,16.6
201,"STN_045","2021-08-22 14:49:29.671916",37.326035,-84.154224,26.87,7.77,7.65,3.19,468.1,2.336,0.123,4.01
232,"STN_045","2020-01-19 14:50:00.881685",37.325418,-84.155856,18.32,7.44,6.6,4.58,471.3,0.898,0.067,1.27
359,"STN_045","2020-09-01 14:29:34.335511",37.324567,-84.156963,12.46,7.13,9.71,0.68,394.5,2.028,0.177,8.27
421,"STN_045","2021-03-29 16:50:22.694354",37.326255,-84.155915,12.74,7.3,6.23,11.94,464.4,0.356,0.087,11.1
540,"STN_045","2022-01-27 08:14:11.918084",37.32487,-84.158656,20.4,7.08,8.47,0.41,537.5,1.147,0.059,10.86
556,"STN_045","2020-02-03 21:29:14.985009",37.326166,-84.155624,7.33,7.12,7.49,5.36,349.3,0.738,0.133,2.39
562,"STN_045","2020-02-22 17:03:32.508336",37.325058,-84.156928,13.75,7.4,7.21,4.04,368.2,0.062,0.049,8.59
600,"STN_045","2021-04-11 12:35:04.731613",37.325621,-84.156607,17.71,7.3,7.15,5.97,367.1,2.936,0.147,15.41
780,"STN_045","2022-04-08 05:27:34.03546",37.325049,-84.156418,14.9,7.95,8.78,4.96,314.6,2.677,0.074,11.27
786,"STN_045","2022-08-25 17:04:51.483164",37.325815,-84.155321,19.09,7.66,10.56,4.12,324,1.935,0.048,19.98
790,"STN_045","2021-07-28 11:52:55.479128",37.324489,-84.154563,15.96,7.64,9.28,2.74,368.2,2.799,0.116,12.97
796,"STN_045","2021-09-28 03:03:45.103627",37.324564,-84.154268,25.8,7.51,4.23,3.38,435.8,3.398,0.123,3.36
968,"STN_045","2020-12-02 14:02:42.842703",37.327476,-84.155582,14.27,7.42,5.77,5.91,428.1,0.564,0.121,11.61
1012,"STN_045","2021-10-21 09:04:16.931819",37.325933,-84.155289,9.4,7.69,8.28,3.73,364.6,2.508,0.013,14.1
1064,"STN_045","2020-07-26 11:52:39.849601",37.323646,-84.155306,9.67,7.67,8.04,4.58,348.2,0.968,0.107,6.41
1108,"STN_045","2021-09-07 09:42:56.591215",37.325193,-84.156994,9.81,7.88,6.41,5.49,387.3,2.111,0.104,14.36
1128,"STN_045","2021-05-12 17:05:08.981962",37.32432,-84.155018,8.39,7.46,7.61,1.03,336.6,2.373,0.184,7.78
1130,"STN_045","2020-06-20 10:29:32.04817",37.324337,-84.155829,10.19,7.81,8.05,7.27,436.1,1.515,0.087,16.59
1159,"STN_045","2020-03-02 18:41:08.863837",37.323896,-84.155387,14.43,7.22,9.56,0.01,316,2.206,0.085,2.9
1167,"STN_045","2020-01-29 16:07:41.564411",37.325463,-84.156235,7.33,7.25,9.7,8.33,431.9,1.548,0.152,5.23
1219,"STN_045","2020-02-21 11:49:46.729056",37.325795,-84.154778,14.67,7.91,9.97,6.32,414.4,1.109,0.11,11.76
1263,"STN_045","2020-08-15 15:13:11.143627",37.32537,-84.1576,10.63,7.31,7.26,4.72,390.7,2.323,0.219,17.35
1265,"STN_045","2021-04-07 05:48:22.273529",37.324911,-84.157741,15.02,7.41,9.44,4.36,377.9,3.285,0.004,4.98
1284,"STN_045","2020-02-10 05:40:10.625361",37.326465,-84.156356,13.94,7.44,10.57,7.09,357.8,0.85,0.153,19.2
1296,"STN_045","2021-03-02 10:20:08.064506",37.324842,-84.157136,14.14,8.15,6.01,4.89,416.4,2.74,0.023,15.52
1298,"STN_045","2021-10-26 09:36:45.831528",37.32731,-84.155881,14.44,8.2,7.48,3.46,480.4,0.52,0.145,0.33
1404,"STN_045","2022-04-01 18:23:38.111338",37.32527,-84.15563,15.28,7.58,8.76,2.9,484.3,2.287,0.096,6.9
1413,"STN_045","2021-11-05 05:27:26.758271",37.326499,-84.15559,11.79,7.26,7.7,6.96,466.9,2.154,0.078,8.05
